host,row,col,rack,shelf,slot,x,y,z,section,ibport,partner,bootnode
rd32-sp,f,11,f11,2,3,0,0,2,,23,rd31,rdboot1
rd33,f,11,f11,2,4,0,0,2,,24,rd34,rdboot1
rd33-sp,f,11,f11,2,4,0,0,2,,24,rd34,rdboot1
rd34,f,11,f11,2,4,0,0,2,,25,rd33,rdboot1
rd34-sp,f,11,f11,2,4,0,0,2,,25,rd33,rdboot1
rd35,f,11,f11,2,5,0,0,2,,26,rd36,rdboot1
rd35-sp,f,11,f11,2,5,0,0,2,,26,rd36,rdboot1
rd36,f,11,f11,2,5,0,0,2,,27,rd35,rdboot1
rd36-sp,f,11,f11,2,5,0,0,2,,27,rd35,rdboot1
rd37,f,11,f11,2,6,0,0,3,,16,rd38,rdboot1
rd37-sp,f,11,f11,2,6,0,0,3,,16,rd38,rdboot1
rd38,f,11,f11,2,6,0,0,3,,17,rd37,rdboot1
rd38-sp,f,11,f11,2,6,0,0,3,,17,rd37,rdboot1
rd39,f,11,f11,2,7,0,0,3,,18,rd40,rdboot1
rd39-sp,f,11,f11,2,7,0,0,3,,18,rd40,rdboot1
rd4,f,11,f11,1,1,0,0,0,,19,rd3,rdboot1
rd4-sp,f,11,f11,1,1,0,0,0,,19,rd3,rdboot1
rd40,f,11,f11,2,7,0,0,3,,19,rd39,rdboot1
rd40-sp,f,11,f11,2,7,0,0,3,,19,rd39,rdboot1
rd41,f,11,f11,2,8,0,0,3,,20,rd42,rdboot1
rd41-sp,f,11,f11,2,8,0,0,3,,20,rd42,rdboot1
rd42,f,11,f11,2,8,0,0,3,,21,rd41,rdboot1
